epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,36567.5,0.96095,1.02148,0.01011,0.8506,0.80031,0.86418,0.65461,0.98023,0.74446,0.02094,0.000775822,0.000775822,0.000775822
110,36896.9,0.98394,1.04967,0.01013,0.838,0.81932,0.87382,0.67559,0.93151,0.68511,0.01961,0.00076757,0.00076757,0.00076757
111,37227.8,0.97089,1.01978,0.01004,0.8749,0.79113,0.87224,0.65793,0.94691,0.72028,0.01952,0.000759318,0.000759318,0.000759318
112,37555.1,0.95566,0.99986,0.01023,0.84709,0.80661,0.85952,0.65876,0.92105,0.7328,0.01878,0.000751067,0.000751067,0.000751067
113,37887.2,0.95122,0.99325,0.00993,0.86059,0.82162,0.86674,0.66832,0.92287,0.72273,0.01895,0.000742815,0.000742815,0.000742815
114,38221.2,0.96881,1.014,0.01021,0.83768,0.83963,0.87557,0.68284,0.92053,0.70634,0.01867,0.000734564,0.000734564,0.000734564
115,38556.4,0.92387,0.98224,0.00966,0.8721,0.79402,0.8792,0.66924,0.94081,0.71981,0.01922,0.000726312,0.000726312,0.000726312
116,38886.8,0.94803,1.00744,0.00997,0.88112,0.79707,0.8806,0.66862,0.93937,0.67173,0.01982,0.00071806,0.00071806,0.00071806
117,39218.6,0.95048,1.02346,0.00995,0.83077,0.8331,0.86714,0.66813,0.93039,0.71121,0.01939,0.000709809,0.000709809,0.000709809
118,39552,0.92864,0.97831,0.00966,0.83626,0.80477,0.86624,0.66669,0.928,0.70235,0.01974,0.000701557,0.000701557,0.000701557
119,39883.5,0.95129,0.98217,0.00987,0.83622,0.81168,0.86563,0.66038,0.93948,0.73884,0.02025,0.000693305,0.000693305,0.000693305
120,40213.1,0.9479,0.98859,0.00975,0.83836,0.85208,0.87428,0.67258,0.91981,0.69209,0.01894,0.000685054,0.000685054,0.000685054
121,40548.9,0.92674,0.9746,0.00966,0.86912,0.77283,0.86201,0.65813,0.92796,0.7345,0.01867,0.000676802,0.000676802,0.000676802
122,40882.6,0.92316,0.97801,0.00978,0.81235,0.82501,0.86602,0.66388,0.92697,0.70997,0.01867,0.00066855,0.00066855,0.00066855
123,41217.5,0.92333,0.96976,0.00961,0.86039,0.80319,0.86536,0.66893,0.92066,0.71666,0.01912,0.000660299,0.000660299,0.000660299
124,41546.6,0.92245,0.95925,0.00967,0.85221,0.82566,0.87012,0.66731,0.93538,0.69313,0.01981,0.000652047,0.000652047,0.000652047
125,41881.5,0.90856,0.94333,0.00939,0.83224,0.82392,0.87304,0.68094,0.91339,0.6788,0.01895,0.000643795,0.000643795,0.000643795
126,42210.2,0.90688,0.93958,0.00957,0.84024,0.83955,0.87111,0.68265,0.91207,0.68052,0.0185,0.000635544,0.000635544,0.000635544
127,42542.4,0.90711,0.95524,0.00939,0.87853,0.8011,0.88153,0.68741,0.91514,0.65733,0.01895,0.000627292,0.000627292,0.000627292
128,42874.1,0.91967,0.93436,0.00944,0.84921,0.81779,0.87267,0.67907,0.92643,0.67557,0.01926,0.00061904,0.00061904,0.00061904
129,43207,0.91402,0.9385,0.00924,0.87912,0.77064,0.87323,0.6814,0.89915,0.67032,0.01865,0.000610789,0.000610789,0.000610789
130,43538.6,0.90861,0.92057,0.00945,0.85651,0.80896,0.88244,0.69604,0.86925,0.6724,0.01773,0.000602537,0.000602537,0.000602537
131,43869.2,0.89944,0.92039,0.00938,0.86964,0.84082,0.88584,0.69317,0.9,0.62572,0.01877,0.000594286,0.000594286,0.000594286
132,44200.1,0.91235,0.9411,0.00949,0.85677,0.81981,0.88856,0.6984,0.88437,0.66005,0.01838,0.000586034,0.000586034,0.000586034
133,44529.5,0.89402,0.92942,0.00924,0.86311,0.82549,0.88199,0.69183,0.89136,0.66502,0.01798,0.000577782,0.000577782,0.000577782
134,44857.2,0.88251,0.89551,0.00898,0.84731,0.81133,0.87582,0.69045,0.89797,0.66521,0.01824,0.000569531,0.000569531,0.000569531
135,45190.1,0.87988,0.88151,0.00912,0.79756,0.86415,0.87543,0.6832,0.90066,0.66766,0.01815,0.000561279,0.000561279,0.000561279
136,45520.2,0.88568,0.87821,0.00895,0.8501,0.84038,0.88442,0.68653,0.90174,0.6394,0.01818,0.000553027,0.000553027,0.000553027
137,45846.6,0.88774,0.89991,0.00911,0.88346,0.81338,0.88386,0.68817,0.88913,0.64495,0.01788,0.000544776,0.000544776,0.000544776
138,46173.2,0.88544,0.89641,0.00898,0.88591,0.79087,0.88141,0.68616,0.9007,0.65547,0.01819,0.000536524,0.000536524,0.000536524
